# area,perimeter,comp,mean_x,mean_y,var_x,var_y,assym_x,assym_y,conj_x,conj_y,conj_xy,conj_xy2,target
2.620439988861041347e-01,9.461942257217847985e-01,1.810168878560944675e-02,5.009042265600238686e-01,5.265705176863518799e-01,4.887244713828305109e-02,8.416155574268624484e-02,5.645255760669509217e-03,-6.767233947618643553e-02,9.518597236981933829e-01,9.699256110520723118e-01,9.340063761955366139e-01,9.495217853347502901e-01,1.000000000000000000e+01
3.427826653633105347e-01,8.259493670886075556e-01,2.702544002583637944e-02,3.917131664279953074e-01,4.895230752671484442e-01,6.897731029510827117e-02,7.250213395005683514e-02,4.655844521641377964e-01,3.153218232647166108e-02,9.493481803367734839e-01,9.777294948397610153e-01,9.441879413362302964e-01,9.460890820206409035e-01,1.000000000000000000e+01
3.195728563610703010e-01,8.112582781456953995e-01,3.017858205339611979e-02,3.629992780952478459e-01,4.931244567288818881e-01,7.419195603530076566e-02,6.252164914267101248e-02,5.472806145235539210e-01,-5.185413411682764095e-02,9.893084878664293313e-01,9.913363826862846562e-01,9.859962596606656193e-01,9.863455082129740648e-01,1.000000000000000000e+01
2.859141791044776393e-01,9.085872576177285165e-01,2.136702483640690042e-02,4.528045133224578578e-01,5.009682419874526005e-01,4.731392983824873888e-02,9.041355647137083729e-02,8.574444443236907409e-02,-5.077763165498098974e-02,9.559543230016313009e-01,9.699836867862968726e-01,9.386623164763457927e-01,9.481239804241435865e-01,1.000000000000000000e+01
2.668913497030974136e-01,8.062500000000000222e-01,2.498347455080824481e-02,3.935142387880201653e-01,5.067123478103440215e-01,6.377609761286337497e-02,7.493813929218216818e-02,6.149390958443864408e-01,-4.696727179591383278e-02,9.511425135297655320e-01,9.685808779314492023e-01,9.365604329524954696e-01,9.541491280817798737e-01,1.000000000000000000e+01
3.853280374703580424e-01,8.086021505376344010e-01,3.469648313716613974e-02,4.009640982741940474e-01,5.159712646505703049e-01,6.479767672210674789e-02,7.102524986039839006e-02,5.216111826853162547e-01,-4.025412740708135366e-03,9.882141582997808760e-01,9.925844758167269299e-01,9.864430966821262636e-01,9.863284236277457540e-01,1.000000000000000000e+01
3.072681704260651903e-01,8.503086419753086433e-01,2.422916920563502816e-02,3.620961048624825040e-01,5.231654108081513765e-01,8.585752974376657798e-02,6.108137745110770594e-02,3.573526512288155987e-01,-1.575784407572674573e-01,9.442631865144099912e-01,9.789287656334965115e-01,9.411364872213159316e-01,9.443991299619358681e-01,1.000000000000000000e+01
3.402232784348402927e-01,8.363636363636363091e-01,2.909262759924385530e-02,4.063537624216844724e-01,4.723396510016674710e-01,1.003762744253696715e-01,6.232688880115554858e-02,2.271731474917243199e-01,7.813419010393318764e-02,9.476933073424301801e-01,9.749837556855101006e-01,9.382716049382715529e-01,9.507797270955166136e-01,1.000000000000000000e+01
3.633557578155915957e-01,7.127192982456140857e-01,4.346508875739645006e-02,4.046612938357656564e-01,4.521120924725230972e-01,9.267639120536397268e-02,6.586448980518312679e-02,2.461787098051753386e-01,1.916092879079301647e-01,9.509910694837725442e-01,9.714659115661076205e-01,9.466347201045524073e-01,9.390111086909169735e-01,1.000000000000000000e+01
3.217844202898550998e-01,8.859934853420194933e-01,2.400856942041522391e-02,3.811388183459291090e-01,5.234056122448978998e-01,9.475630583532561324e-02,7.878611343119525101e-02,4.357234272602396041e-01,-1.573368372288699024e-01,9.486277269528501366e-01,9.722730471498944871e-01,9.356790992258972040e-01,9.491907107670654042e-01,1.000000000000000000e+01
